method,mean_intensity,std_intensity,contrast_ratio,laplacian_variance,entropy,edge_density,dynamic_range,local_contrast_consistency,filename,source
adipocyte_reference,0.0053516957,0.0037072862,0.6926017118505811,0.1679515838586667,0.32825487031637945,0.0,0.037725303,430.69233292473524,40800-13600_GTEX-13FLV_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.005465903,0.0035459145,0.648614880975188,0.23094749444862828,0.3190251989617494,0.0,0.039433032,417.3355723855396,44200-20400_GTEX-139TT_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.005963326,0.0029615883,0.4965503800072954,0.2122201917509301,0.2591562749389864,0.0,0.038346294,495.1249490683241,28900-18700_GTEX-14E6E_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.0054287715,0.0034996807,0.6445355337489309,0.2084455489011816,0.43849225148216014,0.0,0.0380358,472.0666125064715,22100-13600_GTEX-1CB4H_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.006046943,0.0024183264,0.39985933836117016,0.1560583106975173,0.24215732835702167,0.0,0.039433032,593.8019347057196,5100-20400_GTEX-WWYW_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.0060556317,0.002441486,0.4031095569272595,0.16754150354245212,0.2502852730731937,0.0,0.038501546,572.4269266771704,13600-10200_GTEX-RM2N_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.005657478,0.003087622,0.5456630279428468,0.18662738599141449,0.3339031381400635,0.0,0.037570056,523.8699996191569,8500-25500_GTEX-Y8E4_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.0058367946,0.002824138,0.48376794717873345,0.16620349873028317,0.26782771010833095,0.0,0.037725303,533.2189641467287,34000-13600_GTEX-131XF_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.005978557,0.0026570852,0.4443615594646383,0.1272659284149995,0.2627182373459118,0.0,0.038346294,573.5067016678842,11900-23800_GTEX-11WQC_Adipose-Subcutaneous.jpg,adipocyte_reference
adipocyte_reference,0.0052507725,0.0035067138,0.6677200517515176,0.2995958326710024,0.5030834037787495,0.0,0.03819105,479.63150972798024,10200-23800_GTEX-18A6Q_Adipose-Subcutaneous.jpg,adipocyte_reference
